"","distnames","Passrate","Poverty","fit","correctedpass","passrank","corpovrank","povrank"
"117","Smith County School District",93,29.2328956461645,87.3816701024697,1.06429643529292,25,32,45
"118","South Delta School District",73,55.453618756371,72.0383408321632,1.0133492686912,126,72,136
"119","South Panola School District",94,33.3714024668799,84.9599797253294,1.10640327721236,19,11,69
"120","South Pike School District",77,45.8258527827648,77.6721283844596,0.991346594995663,113,87,119
"121","South Tippah School District",92,29.2862398822664,87.3504551670255,1.0532286274191,40,41,46
"122","Starkville School District",84,30.9407665505226,86.3822916518218,0.972421527534555,87,101,58
"123","Stone County Schools",93,28.5343709468223,87.7904191068507,1.05934110972643,25,35,43
"124","Sunflower Consolidated School District",78,47.1534391534392,76.8952773901368,1.01436658592514,111,70,125
"125","Tate County Schools",80,26.4150943396226,89.0305358901467,0.898568105876738,103,125,33
"126","Tishomingo County School District",91,24.4622003687769,90.1732921405652,1.00916799020874,47,78,26
"127","Tunica County School District",79,46.5893892108783,77.2253370897581,1.022980319376,104,61,122
"128","Tupelo Public School District",88,27.2584651588443,88.53702866985,0.993934417295022,67,86,36
"129","Union County School District",92,24.2337164750958,90.306991871079,1.01874725415877,40,64,25
"130","Union Public School District",91,31.2154696132597,86.221546293068,1.05542064498229,47,39,62
"131","Vicksburg-Warren Schools",82,40.6393204426065,80.7070818116275,1.01601988523622,94,68,105
"132","Walthall County Schools",78,37.7612469004605,82.3912165258267,0.946702856069006,111,111,96
"133","Water Valley Schools",80,37.3572593800979,82.6276140317218,0.968199323404001,103,103,92
"134","Wayne County Schools",84,33.3158584534731,84.9924818833787,0.988322709710483,87,88,68
"135","Webster County Schools",88,29.5505617977528,87.1957844447262,1.00922310132761,67,77,49
"136","West Bolivar Consolidated School District",74,60.2046959662854,69.2581985106118,1.06846556207583,121,27,142
"137","West Jasper School District",81,29.3388429752066,87.3196739192229,0.927626001843879,98,119,48
"138","West Point School District",92,49.8953662182362,75.2908102054019,1.22192867561145,40,2,130
"139","West Tallahatchie School",74,46.7836257309941,77.1116775666424,0.95964712914003,121,107,123
"140","Western Line School District",85,37.592698231603,82.4898445351872,1.03042987265835,83,53,94
"141","Wilkinson County Schools",57,40.5866302864939,80.7379140053524,0.705988019410822,143,144,104
"142","Winona Public School District",90,39.1572456320658,81.5743333258507,1.10328820758476,52,12,100
"143","Yazoo City Municipal Schools",53,55.587044534413,71.9602653482401,0.736517573184522,144,142,138
"144","Yazoo County School District",82,41.642591828312,80.120007109162,1.02346471198232,94,60,108
